marking, episode: 0, score: 600.0, mean_score: 600.00, std_score: 0.00
episode: 5, score: 500.0, epsilon: 0.08
episode: 10, score: 250.0, epsilon: 0.08
episode: 15, score: 600.0, epsilon: 0.08
episode: 20, score: 0.0, epsilon: 0.08
episode: 25, score: 0.0, epsilon: 0.08
episode: 30, score: 100.0, epsilon: 0.08
episode: 35, score: 100.0, epsilon: 0.08
episode: 40, score: 300.0, epsilon: 0.08
episode: 45, score: 100.0, epsilon: 0.08
episode: 50, score: 100.0, epsilon: 0.08
episode: 55, score: 0.0, epsilon: 0.08
episode: 60, score: 0.0, epsilon: 0.08
episode: 65, score: 0.0, epsilon: 0.08
episode: 70, score: 0.0, epsilon: 0.08
episode: 75, score: 100.0, epsilon: 0.08
episode: 80, score: 0.0, epsilon: 0.08
episode: 85, score: 0.0, epsilon: 0.08
episode: 90, score: 100.0, epsilon: 0.08
episode: 95, score: 0.0, epsilon: 0.08
marking, episode: 100, score: 100.0, mean_score: 90.00, std_score: 138.56
episode: 100, score: 100.0, epsilon: 0.07
episode: 105, score: 0.0, epsilon: 0.07
episode: 110, score: 100.0, epsilon: 0.07
episode: 115, score: 100.0, epsilon: 0.07
episode: 120, score: 100.0, epsilon: 0.07
episode: 125, score: 100.0, epsilon: 0.07
episode: 130, score: 250.0, epsilon: 0.07
episode: 135, score: 0.0, epsilon: 0.07
episode: 140, score: 0.0, epsilon: 0.07
episode: 145, score: 0.0, epsilon: 0.07
episode: 150, score: 100.0, epsilon: 0.07
episode: 155, score: 200.0, epsilon: 0.07
episode: 160, score: 0.0, epsilon: 0.07
episode: 165, score: 100.0, epsilon: 0.07
episode: 170, score: 0.0, epsilon: 0.07
episode: 175, score: 0.0, epsilon: 0.07
episode: 180, score: 200.0, epsilon: 0.07
episode: 185, score: 200.0, epsilon: 0.07
episode: 190, score: 0.0, epsilon: 0.07
episode: 195, score: 100.0, epsilon: 0.07
marking, episode: 200, score: 300.0, mean_score: 76.00, std_score: 105.71
episode: 200, score: 300.0, epsilon: 0.07
episode: 205, score: 0.0, epsilon: 0.07
episode: 210, score: 100.0, epsilon: 0.07
episode: 215, score: 0.0, epsilon: 0.07
episode: 220, score: 0.0, epsilon: 0.07
episode: 225, score: 500.0, epsilon: 0.07
episode: 230, score: 100.0, epsilon: 0.07
episode: 235, score: 0.0, epsilon: 0.07
episode: 240, score: 0.0, epsilon: 0.07
episode: 245, score: 200.0, epsilon: 0.07
episode: 250, score: 0.0, epsilon: 0.07
episode: 255, score: 0.0, epsilon: 0.07
